大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明
077003.tex,008003.tex,4.1,1,斑鳐,"甲人族友好度到达-X后
在该蛮族商店花X万游戏币购买",,由甲人族的饲鳐员训练出来的斑鳐。整个扁平的身体发挥了以太翼的功能，借助水属性与风属性以太，既可以在水中游泳，也可以在空中飞行。由于被优哉游哉的碧甲族饲养长大，性格十分敦厚。
077004.tex,008004.tex,4.05,1,海蓝宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的海蓝石，所以即使不是秘术师也可以将其召唤出来。
077005.tex,008005.tex,4.05,1,黄水晶宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的黄水晶，所以即使不是秘术师也可以将其召唤出来。
077006.tex,008006.tex,4.1,1,飞行座椅,"炼金术士Lv70，2★配方产物
※飞空艇探索：云海17、18、19、21、22、23、24可获得「白云花种子」
杂交：「库尔札斯茶树种子」和「泽梅尔番茄种子」杂交可获得",,施了魔法的飞天座椅。飞行高度更高，但质量并没有变。工匠们时刻发明实用的设计与配方，要将手工制作的成品送给全世界的冒险者。多给的内六角扳手让人觉得十分周到。
077007.tex,008007.tex,4.1,1,魔导复仇者骑乘型,完成成就「凯旋之翼3」,,哥布林族改良的帝国制无人魔导兵器。原本是无人机，后来被哥布林族得到。哥布林族为了将其用于骑乘而对其进行了改造，就变成了现在的样子。只是不太明白这究竟算是高科技还是低科技。
077008.tex,008008.tex,4.1,1,叶大妖,"750,000金蝶币兑换",,茁壮成长后的叶小妖。一直在寻找理想中的住所，最终来到了金碟游乐场。在穿越撒沟厉沙漠的时候差一点干枯而死，没想到吸水后反弹，得到了让人目瞪口呆的巨大身体。
077009.tex,008009.tex,4.2,1,赤兔马,道具商城购买,,赤兔马是统一延夏的名匠岩燕的爱马。传说岩燕通过自创的风水术令赤兔也学会了飞上天空的技巧。据说这匹马继承了当年那批赤兔的血统，不过无人能够分辨是真是假。
077010.tex,008010.tex,4.2,1,白神威,白虎诗魂战-稀有掉落,,继承了四圣兽白虎的神通力的白狼，周身刮着永不停息的天风。据说是白虎镇压了曾是祸害的大狼后诞生的。
077011.tex,008011.tex,4.2,1,拘束型魔导死亡爪,成就点数兑换,,帝国将亚拉戈的古代兵器钢铁之爪改进后设计出的魔导兵器。配备给特务宪兵队的这台拘束型经过特别调整，可以拘束犯人将其带走。
077012.tex,008012.tex,4.2,1,魔象,阿难陀族声望奖励,,被阿难陀族使役的大型兽。身披魔力纤维织成的魔法绒毯，能够借助魔力浮游。当然魔象是不会飞的，更不会靠扇动耳朵来飞。
077013.tex,008013.tex,4.2,1,真狮鹫,阿难陀族声望奖励,,原产于阿巴拉提亚山脉的有翼魔兽。由阿拉米格解放军的驯兽人基弗用心养育。可以听从骑手的命令扇起突风。另外，这只真狮鹫这么白似乎是品种原因。
077014.tex,008014.tex,4.2,1,飞天半心椅（右）,2019年情人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说为了让椅子浮起来，瓦伦提昂家动员家里所有人栽培白云花。
077015.tex,008015.tex,4.2,1,飞天半心椅（左）,2019年情人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说是莉赛特为了实现飞在天上的蜜月而费尽心力开发的。
077016.tex,008016.tex,4.25,1,ティラノサウルス,优雷卡「アネモス帯のロックボックス」一定几率开出,,「暴君」と渾名される肉食古代獣。バル島の荒れ狂う風属性のエーテルを浴び続けた影響か、不思議なことに浮行能力を得ている。基本的には獰猛極まりない性格だが、力を認めた冒険者に対しては、従順に従うようだ
077017.tex,008017.tex,4.2,1,空军装甲,通关欧米茄零式时空狭缝 西格玛幻境4,,西格玛幻境制造出的谜之飞行器。似乎是某个国家开发的，不过详细无从得知。由于机头被画上了鲨鱼张着嘴的涂鸦，看上去还有点可爱。
077018.tex,008018.tex,4.3,1,オオナマズ御輿,ナマズオ小判：20个兑换,,大鯰大祭で担がれている浮行式御輿。その頂には、職人ギョシンが夢で見たという、ナマズオ族の祖先、オオナマズ様の御姿を再現した飾りが輝いている。冒険者に忠誠を誓った担ぎ手ナマズオ八人衆付き！
077020.tex,008020.tex,4.3,1,護送システム,完成成就「常在戦場：ランク5」,,聖コイナク財団が発掘した古代アラグ帝国の汎用球形運搬システム。オペレーションシステムが更新されたことで、セキュリティ面が強化されている。既存のモデルと、インターフェースが変わってしまっているのが玉にキズ
077022.tex,008022.tex,4.35,1,ドードー,,,東方地域では、絶滅したと考えられていた幻の陸鳥。アメノミハシラの頂上という閉鎖環境に適応するため、種の限界を超えて飛翔能力を獲得するに至った。冒険者と出会ったことで、さらなる外界に羽ばたく決意をしたようだ
077023.tex,008023.tex,4.3,1,魔導キャリアー,群狼盛宴第七赛季，组队排位名次前一百名,,ガレマール帝国の魔導院にて開発された次世代型輸送プラットフォーム。飛空艇技術を応用しており、乗り心地は抜群。思わず「ククク……」と忍び笑いが漏れてしまいそうになる。なお、純粋な輸送用機のため戦闘能力は皆無
077024.tex,008024.tex,4.31,1,プロトキャリアー,群狼盛宴第八赛季，组队排位名次前一百名,,ガレマール帝国の魔導院にて開発された次世代型輸送プラットフォーム。その試作型にあたる本機は、後に量産されたモデルよりも、高品質な鋼材を利用しているらしい。ただし、基本的な性能に大きな差はないようだ
077026.tex,008026.tex,4.35,1,絶地,,,アメノミハシラにて発見されたたくましい軍馬。古の王が愛したという「地を踏まぬほど疾く駆けるという駿馬」から、「絶地」と名付けられた。実際、風水術の効果によって、空を駆けることができるという
077027.tex,008027.tex,4.3,1,夜のカムイ,極ツクヨミ討滅戦-稀有掉落,,夜神「ツクヨミ」の加護を受け、月光の力をまとった大狼。放棄された帝国軍施設を根城としていた野生の狼が、夜神のエーテルを浴びたことで誕生したものと思われる
