大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明,new
068438.tex,004438.tex,3.1,1,腾云蛇,瓦努族友好度到达-誓约后<br/>在该蛮族商店花20万游戏币购买,,衮杜族商人鲁纳瓦努费尽心血养育而成的腾云蛇。飞舞在云海上空时如同肆虐的狂风般刚强有力。它的主人鲁纳瓦努非常坚定地表示，在有资格骑上这只腾云蛇的勇者出现之前，别人开价多少他也不卖。,0
068437.tex,004437.tex,3.x,1,尘世幻龙,完成主线Lv59“展翅高飞”后获得,,世界最初之龙，所有龙族的始祖，尘世幻龙为了观察光之战士的行动而创造了这个分身。光之战士完成了所有的试炼，成功打破了龙爪的封印并取回了光之加护，尘世幻龙认为光之战士已经具备了与自己共同行动的资格，于是改变了分身的外形，让同行者能够乘上自己的背部以便今后的行动。,0
068436.tex,004436.tex,3.x,1,黑陆行鸟,完成主线Lv50“苍穹骑士”后获得,,原产自伊修加德的黑色陆行鸟。这一品种天生就是一身黑色的羽毛，有着能够飞行的能力。福尔唐家的骑士奥尔什方为了最重要的挚友亲手调教出了这只鸟，身上的肌肉充满了美感。,0
068435.tex,004435.tex,2.51,1,芬里尔,金蝶币100万兑换奖品,,曾君临艾欧泽亚的古代野兽“霜狼”。原本人们都以为这种生物已经灭绝了，可近年来在阿巴拉提亚山脉深处再次发现了它们的身影。因其让人联想起清冷月光的鬃毛和凛然雄姿，人们常以传说中的幻兽芬里尔的名字来称呼它们。,0
068434.tex,004434.tex,2.51,1,精金龟,金蝶币20万兑换奖品,,原产自近东地区的萨维奈岛，乌尔达哈的动物学家经过不断地尝试终于成功驯化了这种外来的野生生物，并通过咒术师行会的古代魔法再现实验，让其具备了飞翔的能力。,0
068433.tex,004433.tex,2.5,1,骑乘系统,完成成就“英雄凯旋”后获得,,圣寇伊纳克财团所挖掘出来的古代亚拉戈帝国球形防卫系统。经过调查之后再由尼禄将危险的武器都移除了下去，变成了纯粹的观赏物品。后来为了筹集研究经费而转卖给了罗薇娜。不过当初的调整好像有些小问题……时不时就会电两下……,0
068432.tex,004432.tex,2.5,1,麒麟,获得并使用火土风水雷冰6匹蛮神马笛后<br/>去魔杜纳完成任务“天降祥瑞”,,在东洲，无论什么人都知道万兽的主宰乃是天上的麒麟。人们相信这种传说中的仙兽已经生活了千年之久。虽然人类可以通过仙人制作的魔笛向麒麟发出呼唤，但是万兽之主仅会回应它认可的英雄。,0
068431.tex,004431.tex,2.45,1,典礼陆行鸟,钟情之誓-黄金或白金方案,,原产于伊修加德的大型陆行鸟。由于要在庄严的仪式上使用，养鸟人特地培养出了这种纯白的羽毛。同时严格的训练也使得这种陆行鸟拥有稳重的个性和健壮的体格，即使坐上两个人都不会有任何问题。,0
068430.tex,004430.tex,2.4,1,游行陆行鸟,完成成就“令人难忘2”后获得,,冒险者行会为了准备凯旋游行进行了很多的准备工作，他们向商人发出了“想要体型宽厚的陆行鸟”的订单，结果得到的却是这种结果……由于饲料费过于昂贵，所以这只鸟也就变成了奖励给优秀冒险者的奖品。,0
068429.tex,004429.tex,2.4,1,冰妖马玻瑞阿斯,希瓦歼殛战-稀有掉落,,受到冰神希瓦祝福的妖马，身披凛凛寒风。很可能是库尔札斯地区的独角兽得到了蛮神的祝福变化而成的。它在奔跑时甚至能够将沿途的空气冻结。,0
068428.tex,004428.tex,2.38,1,斯莱普尼尔,道具商城购买,,受到斗神奥丁祝福的妖马，身缠令人绝命的斗气。血红色的鬃毛给人带来无比的威压感。虽说这匹马在战场上无所畏惧，不过一旦它遇到认可的主人，甚至会迎合主人的体型改变自己的大小。,0
068427.tex,004427.tex,2.3,1,雷妖马玛卡布,拉姆歼殛战-稀有掉落,,受到雷神拉姆祝福的妖马，身缠撕裂天空的闪电。很可能是妖精族将妖马梦魇献祭给蛮神时产生出来的。它的嘶鸣会发出震撼空气的闪电。,0
068426.tex,004426.tex,2.3,0,恒辉战马,完成成就“沙之都的凯旋4”后获得,,恒辉队作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。,0
068425.tex,004425.tex,2.3,0,双蛇战马,完成成就“森之都的凯旋4”后获得,,双蛇党作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。,0
068424.tex,004424.tex,2.3,0,黑涡战马,完成成就“海之都的凯旋4”后获得,,黑涡团作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。,0
068423.tex,004423.tex,2.35,1,恐狼,鸟人族友好度到达-誓约后<br/>在该蛮族商店花12万游戏币购买,,鸟人族驯兽人所培养出的军狼，鸟人族在塞尔法特尔的深处找到了这种被认为已经灭绝了的生物。在经过一番辛苦的训练之后，它现在已经大到足以载人的程度了，而且绝对服从主人的命令。,0
068422.tex,004422.tex,2.2,1,大陆行鸟,水晶传承站,,一位库尔札斯出身的陆行鸟猎人在陆行鸟之森中捕获到的野生品种。身体素质远远超过牧场驯养的那些鸟，也有着很高的运输能力，只可惜品性过于狂野，不适合供人骑乘。不过在驯养员的苦心之下好像已经被训练成可以同时乘坐两人了。,0
068421.tex,004421.tex,2.2,0,战熊,完成成就“勇猛战士”后获得,,专门为了战斗而训练的军用大熊。在北方的阿巴拉提亚山脉深处，有着和蛮熊角力、将其打倒后加以驯服的习俗。因此，在古代勇猛战士们的传说里面，经常会有战熊出场。,0
068420.tex,004420.tex,2.2,0,战狮,完成成就“顽强骑士”后获得,,专门为了战斗而训练的军用狮子。萨纳兰地区虽然没有野生的狮子，但过去却通过交易从近东进口了一些，曾经被近卫兵团“银胄团”训练为坐骑。现在已经是非常少见。,0
068419.tex,004419.tex,2.2,1,水妖马艾恩巴尔,利维亚桑歼殛战-稀有掉落,,受到水神利维亚桑祝福的妖马，身缠水流漩涡。很可能是鱼人族将妖马梦魇献祭给蛮神时产生出来的。传说中它诞生于魔力水泡。,0
068418.tex,004418.tex,2.2,1,土妖马古尔法克西,迦楼罗歼殛战-稀有掉落,,受到土神泰坦祝福的妖马，身缠熔岩。很可能是地灵族将妖马梦魇献祭给蛮神时产生出来的。坚实的脚步可以撼动大地。,0
068417.tex,004417.tex,2.2,1,风妖马刻桑图司,泰坦歼殛战-稀有掉落,,受到风神迦楼罗祝福的妖马，身缠凛冽狂风。很可能是鸟人族将妖马梦魇献祭给蛮神时产生出来的。跑动时宛如疾风掠过。,0
068416.tex,004416.tex,2.2,1,火妖马埃驮恩,伊芙利特歼殛战-稀有掉落,,受到火神伊弗利特祝福的妖马，身缠熊熊烈火。很可能是蜥蜴人族将妖马梦魇献祭给蛮神时产生出来的。呼吸中带有宛如地狱业火的热流。,0
068415.tex,004415.tex,2.2,1,爆弹吊椅,地灵族友好度到达-信赖后<br/>在该蛮族商店花12万游戏币购买,,第789团辅祭巴戈制作的爆弹怪里有一些爆炸力马马虎虎的，被判定为失败作。这些失败作品被用来牵引这个吊椅。不过它们毕竟还是爆弹怪，乘坐时一定要小心火烛。,0
068414.tex,004414.tex,2.2,0,兵队水龙蜥,鱼人族友好度到达-信赖后<br/>在该蛮族商店花12万游戏币购买,,诺布一伙里的海兽驯养人帕阿培育出的水龙蜥坐骑。在陆地上行走的话蹼会碍事，所以在蹼上做出切口，使得它拥有了不输给陆行鸟的速度，代价则是无法再在海里游泳。,0
068413.tex,004413.tex,2.1,1,胖陆行鸟,水晶传承站,,为了食物而奔波的陆行鸟老大。如果用笛子召唤它，始终都会是一副好像要说“不要没事乱吹笛”的态度。不过一旦最喜欢的基萨尔野菜挂在眼前，它就抛弃了一切的矜持，全心全意地开始奔跑。,0
068412.tex,004412.tex,2.1,1,梦魇,伊芙利特歼/泰坦/迦楼罗歼殛战-稀有掉落,,经过驯养的妖马“梦魇”。是由“无影”带给蛮族们的，详细的情况不明。性格好战，但对持有魔法笛的人会无条件地服从。,0
068411.tex,004411.tex,2.1,1,魔导装甲丙型,完成成就“铭记不忘的队友”后获得,,加雷马帝国军秘密开发的改良型“死神”。金色的装甲是用了新开发的特殊涂料，可以抵抗艾欧泽亚同盟军使用的魔法攻击。,0
068410.tex,004410.tex,2.1,1,月桂冠古菩猩猩,妖精族友好度到达-信赖后<br/>在该蛮族商店花12万游戏币购买,,暂留地妖精们的大块头朋友。因为坏妖精们的恶作剧，头部的植物被拔走，变成了秃子。暂留地妖精们看它可怜，用花草给它编了头冠，由此结下了友谊。,0
068409.tex,004409.tex,2.1,1,兵队火蛟,蜥蜴人族友好度到达-信赖后<br/>在该蛮族商店花12万游戏币购买,,灰党培育的战斗火蛟坐骑。从小就接受蜥蜴人族驯兽人的严格训练，吃着成年火蛟的火炎袋长大，被驯服的同时兼具野性。,0
068408.tex,004408.tex,2.1,1,贝希摩斯,购买月卡累积满足9个月,,冒险者行会赠给冒险者的强力坐骑。灵灾之后，一名冒险者在库尔札斯的深山捡到了这只被父母遗弃的贝希摩斯幼崽。付出心血将其养大后，这只巨兽奇迹般地很亲近人类。,0
068407.tex,004407.tex,2.x,1,独角兽,幻术师Lv30支线“我唯一的希望”,,在黑衣森林中偶遇的纯白独角兽。独角兽原产自库尔札斯，在当地也是非常罕见，不知为何会迷路进了森林。因为感激冒险者帮它治伤，成为了冒险者的好伙伴。,0
068406.tex,004406.tex,2.x,1,魔导装甲,"完成主线“超越幻想,究极神兵”",,加雷马帝国军制式配备的骑乘用魔导装甲“死神”型。西德等人用魔法人偶的核心作为控制装置，对这台缴获的装甲进行了各种改造，现在可以说是加隆德炼铁厂式样了。,0
068405.tex,004405.tex,2.x,0,长须豹,积分商城兑换,,年轻而敏捷的长须豹。野生的长须豹是非常凶猛的魔兽，但在其原产地的近东地区也发展出了独特的驯养法。这只长须豹好像是在萨维奈岛接受过作为坐骑的训练。,0
068404.tex,004404.tex,2.x,1,冥鬼之眼,积分商城兑换,,长有翅膀的独眼魔物。根据妖异学者们的分类，是属于妖异十二阶中第5位的中阶妖异。用动物的眼球作媒介可以将其从异界召唤出来，通过强力的魔法加以束缚后可以进行使唤。,0
068403.tex,004403.tex,2.x,1,古菩猩猩,购买数字典藏包获得,,异国的诗人为了表示谢意，赠予了冒险者一把魔法的角笛，可以召唤出这只古菩猩猩。虽然这种动物并不温顺，但独自徘徊在艾欧泽亚的这只古菩猩猩却因为喜爱诗人的歌声，而跟随着他一起旅行。,0
068402.tex,004402.tex,2.x,1,遗产陆行鸟,道具商城购买,,因为贤者路易索瓦的秘术，被送往次元缝隙的冒险者们穿越了5年的时光终于能和这只陆行鸟再会。经历了长期无主的流浪生活，这只陆行鸟已经成长得非常勇悍，风貌上别具一格。,0
068401.tex,004401.tex,2.x,1,专属陆行鸟,"角色20级并完成20级主线加入军团后,使用200军票在军团补给员兑换“对应大国防联军名字+陆行鸟券”<br/>即可领取支线任务:“我的专属陆行鸟”<br/>完成任务后获得鸟哨并习得骑乘",,伊修加德产军用陆行鸟。除常见的旅行种以外，还有能够承载鲁加族的大型狩猎种以及专门为拉拉菲尔族改良的贝拉哈迪亚小型种等种类。,0
